Councilperson,DocType,Payee,EntityAddressLine1,Payee Address,Date, Amount ,Description,Category,
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,6/24/2010,$80.26 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,2/3/2010,$75.88 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,5/24/2010,$52.87 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,9/23/2010,$43.31 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,4/23/2010,$40.55 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,1/7/2010,$37.35 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,7/21/2010,$30.48 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Palm Restaurant,200 S Broad St,200 S Broad St  Philadelphia PA 191023809,1/28/2010,$14.00 ,meal,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,The Olive Garden,1346 Chestnut Street,1346 Chestnut Street  Philadelphia PA 19107,4/26/2010,$43.00 ,Meeting Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Happy Rooster,118 S 16th St,118 S 16th St  Philadelphia PA 191022821,9/7/2010,$133.68 ,meal/meeting,"Wining, Dining & Entertaining",
Blackwell,CFR - Schedule III - Statement of Expenditures,ARTHUR GREEN,545 WENDEL COURT,545 WENDEL COURT  PHILADELPHIA PA 19123,11/1/2010,$100.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,ARTHUR GREEN,545 WENDEL COURT,545 WENDEL COURT  PHILADELPHIA PA 19123,9/21/2010,$50.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,DAVID SHAW,118 N. YEWDALL ST,118 N. YEWDALL ST  PHILADELPHIA PA 19139,9/20/2010,$500.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,FUNDRAISER FOR KEVIN DALY,8TH & RACE STREET,8TH & RACE STREET POLICE ADM ROOM 305 PHILADELPHIA PA 19106,6/14/2010,$30.00 ,CONTRIBUTION - KEVIN DALY,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,JUANITA MOSS,7801 COLONIAL SPRINGS BLVD,7801 COLONIAL SPRINGS BLVD  ALEXANDRIA VA 22306,3/2/2010,$38.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,LEON KING,240 RUMFORT ST,240 RUMFORT ST  PHILADELPHIA PA 19119,11/17/2010,"$1,000.00 ",CONTRIBUTION FOR CONSTITUENT ASSISTANCE,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Mark Lavelle,,  Philadelphia PA ,8/25/2010,$250.00 ,Contribution,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,MICHAEL A. B ROWN,,  PHILADELPHIA PA ,3/18/2010,$100.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,MICHELLE F. BOWNLEE,1208 N 29TH STREET,1208 N 29TH STREET  PHILADELPHIA PA 19121,4/15/2010,$100.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,NANCY COLLINS C/O MADELINE DUNN,404 CITY HALL,404 CITY HALL  PHILADELPHIA PA 19107,7/6/2010,$50.00 ,DONATION,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,TANYA BASS KNIGHT,632 S. 55TH ST,632 S. 55TH ST  PHILADELPHIA PA 19143,9/8/2010,$100.00 ,DONATION,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Variety,1520 Locust St,1520 Locust St Fl 2 Philadelphia PA 191024404,4/14/2010,"$1,000.00 ",donation,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,CHARLES TASCO,,  PHILADELPHIA PA ,1/5/2010,$50.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,CRYSTAL JACKSON,8214 FOREST AVENUE,8214 FOREST AVENUE  PHILADELPHIA PA 19150,5/3/2010,$50.00 ,CONTRIBUTION,Miscellaneous & Unclear,
Clarke,CFR - Schedule III - Statement of Expenditures,Donna Jones,1300 CB Moore,1300 CB Moore  Philadelphia PA 19122,7/1/2010,$130.00 ,donation,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,EUGENE HART,527 E. WALNUT LANE,527 E. WALNUT LANE  PHILADELPHIA PA 19144,7/28/2010,"$1,450.00 ",CONTRIBUTION TO BOXING PROGRAM,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,EUGENE HART,527 E. WALNUT LANE,527 E. WALNUT LANE  PHILADELPHIA PA 19144,6/25/2010,$600.00 ,CONTRIBUTION TO SPORTS ACTIVITIES,Miscellaneous & Unclear,
O'Neill,CFR - Schedule III - Statement of Expenditures,For Pete's Sake,900 Strahle Street,900 Strahle Street  Philadelphia PA 19111,2/22/2010,$50.00 ,Contribution,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,MARIAN B. TASCO,1000 E VERNON ROAD,1000 E VERNON ROAD  PHILADELPHIA PA 19150,11/29/2010,$120.00 ,REIMBURSEMENT FOR TICKETS,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,WANDA A.,STENTON AVE,STENTON AVE   PA ,5/12/2010,$230.00 ,NSF,Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,WAADEAH FLOYD,1018 S. 48TH ST & 408 CITY HALL,1018 S. 48TH ST & 408 CITY HALL  PHILADELPHIA PA 19107,9/22/2010,$319.00 ,SENIOR ASSISTANCE TO SINDY PRESTON & REIMBURSEMENT TO MARTY CABRY,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Tracy Hardy,4674 Canton St,4674 Canton St  Philadelphia PA 191272001,9/28/2010,$180.00 ,reimbursement,Miscellaneous & Unclear,
Jones,CFR - Schedule III - Statement of Expenditures,Stephen McGraw,,   PA ,1/19/2010,$500.00 ,,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Shannon Brown,323 Mercy Street,323 Mercy Street  Philadelphia PA 19148,7/29/2010,$364.00 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Shannon Brown,323 Mercy Street,323 Mercy Street  Philadelphia PA 19148,6/23/2010,$128.93 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Richard Lazer,107 Wolf  Street,107 Wolf  Street  Philadelphia PA 19148,4/13/2010,$154.02 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Richard Lazer,107 Wolf  Street,107 Wolf  Street  Philadelphia PA 19148,7/29/2010,$60.00 ,Reimbursement,Miscellaneous & Unclear,
Sanchez,CFR - Schedule III - Statement of Expenditures,Plaxo Inc.,203 Ravendale Drive,203 Ravendale Drive  Mountain View CA 94043,5/24/2010,$19.95 ,Supplies,Miscellaneous & Unclear,
Sanchez,CFR - Schedule III - Statement of Expenditures,Orlando Rendon,2257 North 5th Street,2257 North 5th Street  Philadelphia PA 19133,3/21/2010,$150.00 ,Supplies,Miscellaneous & Unclear,
Sanchez,CFR - Schedule III - Statement of Expenditures,Orlando F. Rendon,2257 N. 5th Street,2257 N. 5th Street  Philadelphia PA 19133,3/21/2010,$250.00 ,Supplies,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,MICHELLE DOWELL,,   PA ,2/4/2010,$31.88 ,REIMBURSEMENT,Miscellaneous & Unclear,
Jones,CFR - Schedule III - Statement of Expenditures,Michael Fairfax,,   PA ,1/19/2010,$200.00 ,,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,MATT MCDONALD,,   PA ,12/8/2010,$400.00 ,SUPPLIES,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Matt Carey Hiberian,,  Philadelphia PA ,10/18/2010,$175.00 ,Tics,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,MARSHA SHERMAN,1006 E VERNON ROAD,1006 E VERNON ROAD  PHILADELPHIA PA 19150,3/8/2010,$100.00 ,CONTRIUBTION,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Marita Crawford,1913 Forrestal St,1913 Forrestal St  Philadelphia PA 191455443,10/14/2010,$64.74 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Marita Crawford,1913 Forrestal St,1913 Forrestal St  Philadelphia PA 191455443,5/13/2010,$27.36 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Marita Crawford,1913 Forrestal St,1913 Forrestal St  Philadelphia PA 191455443,1/4/2010,$25.00 ,reimbursement,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,MARIAN B TASCO,1000 E VERNON ROAD,1000 E VERNON ROAD  PHILADELPHIA PA 19150,8/24/2010,"$1,063.85 ",PHILLIES GAME,Miscellaneous & Unclear,
Sanchez,CFR - Schedule III - Statement of Expenditures,Maria Quinones Sanchez,2038 North Hancock Street,2038 North Hancock Street  Philadelphia PA 19122,5/27/2010,$470.50 ,Activities (Reimbursement),Miscellaneous & Unclear,
Blackwell,CFR - Schedule III - Statement of Expenditures,MALIK AZIZ,CHESWICK RD,CHESWICK RD  PHILADELPHIA PA 19128,12/13/2010,"$1,000.00 ",CONTRIBUTION,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,LESLIE CARTER,,   PA ,3/4/2010,$50.00 ,REIMBURSEMENT,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Joe Waters,City Hall Room 444,City Hall Room 444  Philadelphia  19107,4/22/2010,$100.00 ,reimbursement for event ticket,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Jeffrey Scott,604 S Washington Sq,604 S Washington Sq Apt 112 Philadelphia PA 191064119,5/13/2010,$60.00 ,reimbursement,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,JANICE THOMAS,,   PA ,6/5/2010,$40.00 ,EVENT TIX,Miscellaneous & Unclear,
Jones,CFR - Schedule III - Statement of Expenditures,Global Community Solutions LLC,1330 N. Blackhorse Pike,1330 N. Blackhorse Pike Suite B Williamstown NJ 8094,12/13/2010,$500.00 ,Returned Deposit,Miscellaneous & Unclear,
Jones,CFR - Schedule III - Statement of Expenditures,Gambrell Development,4519 Frankford Avenue,4519 Frankford Avenue  Philadelphia PA 19124,11/1/2010,$300.00 ,GOTV,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,ERIC WHITE,1409 E VERNON ROAD,1409 E VERNON ROAD  PHILADELPHIA PA 19150,1/27/2010,$50.00 ,TREL EXPENSE FOR MBT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,EILEEN FIERSON,,   PA ,3/8/2010,$40.00 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,EILEEN FIERSON,,   PA ,7/6/2010,$31.88 ,REIMBURSEMENT,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,1/8/2010,"$1,326.30 ",Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,1/28/2010,"$1,125.87 ",Reinbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,4/22/2010,$586.20 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,9/24/2010,$578.65 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,7/29/2010,$278.61 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,3/5/2010,$207.90 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,10/20/2010,$185.95 ,Reimbursement,Miscellaneous & Unclear,
Kenney,CFR - Schedule III - Statement of Expenditures,Deborah Mahler,7500 Fowler Street,7500 Fowler Street  Philadelphia PA 19128,7/1/2010,$85.90 ,Reimbursement,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,DAVID FORDE,QUEEN LANE,QUEEN LANE  PHILA PA 19118,1/10/2010,$275.17 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,DAVID FORDE,,   PA ,7/6/2010,$128.10 ,REIMBURSEMENT,Miscellaneous & Unclear,
Tasco,CFR - Schedule III - Statement of Expenditures,CRYSTAL JACOBS,577 CITY HALL,577 CITY HALL  PHILADELPHIA PA 19107,10/4/2010,$211.50 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,CINDY C.,GERMANTOWN AVE,GERMANTOWN AVE   PA ,5/12/2010,$25.00 ,NSF,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Chris Rupe,760 E Passyunk Ave,760 E Passyunk Ave  Philadelphia PA 191473025,9/23/2010,$283.48 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Chris Rupe,760 E Passyunk Ave,760 E Passyunk Ave  Philadelphia PA 191473025,11/29/2010,$41.86 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Chris Rupe,1541 S 13th St,1541 S 13th St 2f Philadelphia PA 191476203,4/5/2010,$24.97 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Chris Rupe,760 E Passyunk Ave,760 E Passyunk Ave  Philadelphia PA 191473025,7/14/2010,$22.90 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Chris Rupe,760 E Passyunk Ave,760 E Passyunk Ave  Philadelphia PA 191473025,10/18/2010,$16.50 ,reimbursement,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Chris Rupe,1541 S 13th St,1541 S 13th St 2f Philadelphia PA 191476203,1/19/2010,$14.02 ,reimbursement,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,BLONDELL REYNOLDS BROWN,N 52ND STREET,N 52ND STREET  PHILA PA 19151,9/24/2010,$971.33 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,BLONDELL REYNOLDS BROWN,,   PA ,12/7/2010,$545.42 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,BLONDELL REYNOLDS BROWN,N 52ND STREET,N 52ND STREET  PHILA PA 19151,7/9/2010,$309.78 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,BLONDELL REYNOLDS BROWN,,   PA ,12/30/2010,$279.00 ,REIMBURSEMENT,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,BLONDELL REYNOLDS BROWN,N. 52ND STREET,N. 52ND STREET  PHILA PA 19151,7/1/2010,$125.00 ,REIMBURSEMENTS,Miscellaneous & Unclear,
Brown,CFR - Schedule III - Statement of Expenditures,BLONDELL REYNOLDS BROWN,N. 52ND STREET,N. 52ND STREET  PHILA PA 19151,1/11/2010,$56.30 ,REIMBURSEMENTS,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,Benjamin Fisher,4610 Tackawanna St,4610 Tackawanna St  Philadelphia PA 191243308,9/28/2010,$17.00 ,reimbursement,Miscellaneous & Unclear,
Sanchez,CFR - Schedule III - Statement of Expenditures,Antonio Marrero,2122 Westgate Drive J-7,2122 Westgate Drive J-7  Bethlehem PA 18107,4/27/2010,$500.00 ,Campaign Activity,Miscellaneous & Unclear,
O'Neill,CFR - Schedule III - Statement of Expenditures,American Express,PO Box 1270,PO Box 1270  Newark NJ 7101,5/18/2010,$450.00 ,Membership Fee,Miscellaneous & Unclear,
Green,CFR - Schedule III - Statement of Expenditures,The Happy Rooster,118 S 16th St,118 S 16th St  Philadelphia PA 191022821,5/21/2010,$67.60 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The Happy Rooster,118 S 16th St,118 S 16th St  Philadelphia PA 191022821,10/15/2010,$50.12 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The American Pub,1500 Market St,1500 Market St  Philadelphia PA 191022100,3/12/2010,$132.86 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The American Pub,1500 Market St,1500 Market St  Philadelphia PA 191022100,9/27/2010,$51.47 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The American Pub,1500 Market St,1500 Market St  Philadelphia PA 191022100,8/11/2010,$28.60 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The American Pub,1500 Market St,1500 Market St  Philadelphia PA 191022100,7/21/2010,$27.50 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,The American Pub,1500 Market St,1500 Market St  Philadelphia PA 191022100,8/12/2010,$26.55 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Ted's Montana Grill,260 S Broad St,260 S Broad St  Philadelphia PA 191025021,4/14/2010,$66.49 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Table 31,1701 John F Kennedy Blvd,1701 John F Kennedy Blvd  Philadelphia PA 191032838,4/12/2010,$142.89 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Table 31,1701 John F Kennedy Blvd,1701 John F Kennedy Blvd  Philadelphia PA 191032838,9/27/2010,$42.04 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Square Burger,200 N 6th Street,200 N 6th Street  Philadelphia PA 19106,5/21/2010,$67.25 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Spasso Italian Grille,34 S Front St,34 S Front St  Philadelphia PA 191063019,5/28/2010,$334.63 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Spasso Italian Grille,34 S Front St,34 S Front St  Philadelphia PA 191063019,12/19/2010,$41.40 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Sole Food,1200 Market St,1200 Market St  Philadelphia PA 191073615,4/16/2010,$119.88 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Sodini's Restaurant,510 Green St,510 Green St  San Francisco CA 941333906,9/14/2010,$187.20 ,meal (Leadership Exch.),"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Slacks Hoagie Shack,2499 Aramingo Avenue,2499 Aramingo Avenue  Philadelphia PA 19125,6/14/2010,$336.91 ,District Activities,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Slacks Hoagie Shack,2499 Aramingo Avenue,2499 Aramingo Avenue  Philadelphia PA 19125,4/19/2010,$129.59 ,District-Activitite,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Slacks Hoagie Shack,2499 Aramingo Avenue,2499 Aramingo Avenue  Philadelphia PA 19125,4/1/2010,$69.79 ,Meeting Expense,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Silk City,435 Spring Garden Street,435 Spring Garden Street  Philadelphia PA 19123,5/28/2010,$51.97 ,Meeting Expense,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Shining Star,2460 North 5th Street,2460 North 5th Street  Philadelphia PA 19133,12/20/2010,$112.00 ,District Activies,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Shining Star,2460 North 5th Street,2460 North 5th Street  Philadelphia PA 19133,2/4/2010,$102.00 ,Meeting Expense,"Wining, Dining & Entertaining",
Blackwell,CFR - Schedule III - Statement of Expenditures,SHERNOFF'S SALAD,1400 S WARFIELD ST,1400 S WARFIELD ST  PHILADELPHIA PA 19146,7/21/2010,$320.00 ,FOOD FOR HOMELESS PARTY,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Sassafras Cafe,48 S 2nd St,48 S 2nd St  Philadelphia PA 191062810,6/1/2010,$23.00 ,meal,"Wining, Dining & Entertaining",
Kenney,CFR - Schedule III - Statement of Expenditures,Sarah Putnam,4706 Smick Street,4706 Smick Street  Philadelphia PA 19127,4/13/2010,$35.97 ,Reimbursement/Lunch Mtg.,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Sansom Street Oyster House,1516 Sansom St,1516 Sansom St  Philadelphia PA 191022811,6/29/2010,$161.00 ,meal/meeting,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Sampan Restaurant,124 S. 13th Street,124 S. 13th Street  Philadelphia PA 19107,3/10/2010,$30.84 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Sabrina's Cafe,1802 Spring Garden St,1802 Spring Garden St  Philadelphia PA 19176,3/29/2010,$87.70 ,Meal Expense,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Sabrina's Cafe,1802 Spring Garden St,1802 Spring Garden St  Philadelphia PA 19176,12/7/2010,$25.44 ,Meal Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Rouge Ninety Eight Inc,205 S 18th St,205 S 18th St  Philadelphia PA 191035900,6/1/2010,$61.70 ,meal,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Restaurant Y Lechonera,235 Cecil B Moore Avenue,235 Cecil B Moore Avenue  Philadelphia PA 19122,9/21/2010,$491.40 ,District-Activities,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Redstone Pizzeria Cafe,500 Lexington Avenue,500 Lexington Avenue  New York NY 10017,12/13/2010,$21.99 ,Meeting Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Radicchio,402 Wood St,402 Wood St  Philadelphia PA 191061111,5/5/2010,$69.32 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,R2L,50 S 16th St,50 S 16th St  Philadelphia PA 191022516,11/8/2010,$51.60 ,meal/meeting,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,PYT,1050 N Hancock St,1050 N Hancock St  Philadelphia PA 191232342,7/2/2010,$52.60 ,meal/meeting,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Primo Hoagies,1501 E. Susquehanna Avenue,1501 E. Susquehanna Avenue  Philadelphia PA 19125,9/27/2010,$92.87 ,District Activitie,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Pizza By George,Reading Terminal Market,Reading Terminal Market 12th and Filbert Philadelphia PA 19107,1/5/2010,$42.00 ,Meal Expense,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Philly Pretzel Factory,2125 W. Oregon Avenue,2125 W. Oregon Avenue  Philadelphia PA 19145,4/12/2010,$127.00 ,District-Activity,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Pat's Pizzeria,12317 Academy Road,12317 Academy Road  Philadelphia PA 19154,2/25/2010,$19.58 ,Meal Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Pathmark,7700 Crittenden St,7700 Crittenden St  Philadelphia PA 191184421,6/14/2010,$241.94 ,food/supplies for event,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Pastificio Restaurant,1528 Packer Ave,1528 Packer Ave  Philadelphia PA 191455407,10/15/2010,$58.31 ,meal/meeting,"Wining, Dining & Entertaining",
Blackwell,CFR - Schedule III - Statement of Expenditures,PASTIFICIO,1528 PACKER AVE,1528 PACKER AVE  PHILADELPHIA PA 19148,8/22/2010,$122.00 ,INVOICE FOR LUNCH,"Wining, Dining & Entertaining",
O'Neill,CFR - Schedule III - Statement of Expenditures,Passero's Gourmet Coffee,1601 JFK Blvd.,1601 JFK Blvd.  Philadelphia PA 19103,12/13/2010,$5.09 ,Meal Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Paradiso Restaurant,1627 E Passyunk Ave,1627 E Passyunk Ave  Philadelphia PA 191481121,3/9/2010,$341.97 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Paradiso Restaurant,1627 E Passyunk Ave,1627 E Passyunk Ave  Philadelphia PA 191481121,3/9/2010,$46.85 ,meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,P. J. Clarke's,915 3rd Ave,915 3rd Ave  New York NY 100223767,12/11/2010,$76.82 ,PA Society event,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Omni Hotel San Francisco,500 California St,500 California St  San Francisco CA 941041001,9/15/2010,$34.40 ,Leadership Exchange meal,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Omni Hotel San Francisco,500 California St,500 California St  San Francisco CA 941041001,9/15/2010,$28.72 ,Leadership Exchange meal,"Wining, Dining & Entertaining",
Sanchez,CFR - Schedule III - Statement of Expenditures,Octo Waterfront Grille,221 N. Columbus Blvd.,221 N. Columbus Blvd.  Philadelphia PA 19106,8/20/2010,$190.65 ,Meeting Expense,"Wining, Dining & Entertaining",
Green,CFR - Schedule III - Statement of Expenditures,Oasis,541 Lexington Ave,541 Lexington Ave  New York NY 100227503,12/12/2010,$20.00 ,PA Society event,"Wining, Dining & Entertaining",
